func,x0,iters,failed,fmt,accum
sinx_minus_x2,-3.0,5,0,fp32,small
sinx_minus_x2,-1.0,11,0,fp32,small
sinx_minus_x2,0.1,3,0,fp32,small
sinx_minus_x2,1.0,11,0,fp32,small
sinx_minus_x2,3.0,5,0,fp32,small
sinx_minus_x2,-3.0,4,0,fp32,fp32
sinx_minus_x2,-1.0,31,0,fp32,fp32
sinx_minus_x2,0.1,2,0,fp32,fp32
sinx_minus_x2,1.0,31,0,fp32,fp32
sinx_minus_x2,3.0,4,0,fp32,fp32
sinx_minus_x2,-3.0,4,0,tf32,small
sinx_minus_x2,-1.0,100,1,tf32,small
sinx_minus_x2,0.1,2,0,tf32,small
sinx_minus_x2,1.0,5,0,tf32,small
sinx_minus_x2,3.0,4,0,tf32,small
sinx_minus_x2,-3.0,3,0,tf32,fp32
sinx_minus_x2,-1.0,100,1,tf32,fp32
sinx_minus_x2,0.1,1,0,tf32,fp32
sinx_minus_x2,1.0,2,0,tf32,fp32
sinx_minus_x2,3.0,3,0,tf32,fp32
sinx_minus_x2,-3.0,4,0,bfloat16,small
sinx_minus_x2,-1.0,10,0,bfloat16,small
sinx_minus_x2,0.1,2,0,bfloat16,small
sinx_minus_x2,1.0,5,0,bfloat16,small
sinx_minus_x2,3.0,4,0,bfloat16,small
sinx_minus_x2,-3.0,3,0,bfloat16,fp32
sinx_minus_x2,-1.0,5,0,bfloat16,fp32
sinx_minus_x2,0.1,1,0,bfloat16,fp32
sinx_minus_x2,1.0,2,0,bfloat16,fp32
sinx_minus_x2,3.0,3,0,bfloat16,fp32
sinx_minus_x2,-3.0,2,0,fp8,small
sinx_minus_x2,-1.0,15,0,fp8,small
sinx_minus_x2,0.1,1,0,fp8,small
sinx_minus_x2,1.0,100,1,fp8,small
sinx_minus_x2,3.0,100,1,fp8,small
sinx_minus_x2,-3.0,1,0,fp8,fp32
sinx_minus_x2,-1.0,4,0,fp8,fp32
sinx_minus_x2,0.1,1,0,fp8,fp32
sinx_minus_x2,1.0,1,0,fp8,fp32
sinx_minus_x2,3.0,2,0,fp8,fp32
x3_minus_7,-3.0,13,0,fp32,small
x3_minus_7,-1.0,6,0,fp32,small
x3_minus_7,0.1,18,0,fp32,small
x3_minus_7,1.0,7,0,fp32,small
x3_minus_7,3.0,6,0,fp32,small
x3_minus_7,-3.0,12,0,fp32,fp32
x3_minus_7,-1.0,5,0,fp32,fp32
x3_minus_7,0.1,17,0,fp32,fp32
x3_minus_7,1.0,6,0,fp32,fp32
x3_minus_7,3.0,5,0,fp32,fp32
x3_minus_7,-3.0,100,1,tf32,small
x3_minus_7,-1.0,100,1,tf32,small
x3_minus_7,0.1,100,1,tf32,small
x3_minus_7,1.0,100,1,tf32,small
x3_minus_7,3.0,100,1,tf32,small
x3_minus_7,-3.0,100,1,tf32,fp32
x3_minus_7,-1.0,100,1,tf32,fp32
x3_minus_7,0.1,100,1,tf32,fp32
x3_minus_7,1.0,100,1,tf32,fp32
x3_minus_7,3.0,100,1,tf32,fp32
x3_minus_7,-3.0,100,1,bfloat16,small
x3_minus_7,-1.0,100,1,bfloat16,small
x3_minus_7,0.1,100,1,bfloat16,small
x3_minus_7,1.0,100,1,bfloat16,small
x3_minus_7,3.0,100,1,bfloat16,small
x3_minus_7,-3.0,100,1,bfloat16,fp32
x3_minus_7,-1.0,100,1,bfloat16,fp32
x3_minus_7,0.1,100,1,bfloat16,fp32
x3_minus_7,1.0,100,1,bfloat16,fp32
x3_minus_7,3.0,100,1,bfloat16,fp32
x3_minus_7,-3.0,100,1,fp8,small
x3_minus_7,-1.0,100,1,fp8,small
x3_minus_7,0.1,100,1,fp8,small
x3_minus_7,1.0,100,1,fp8,small
x3_minus_7,3.0,100,1,fp8,small
x3_minus_7,-3.0,100,1,fp8,fp32
x3_minus_7,-1.0,100,1,fp8,fp32
x3_minus_7,0.1,100,1,fp8,fp32
x3_minus_7,1.0,100,1,fp8,fp32
x3_minus_7,3.0,100,1,fp8,fp32
